"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/FLK","FK","Falkland Islands [Islas Malvinas]","Annual_Generation_Electricity","1993","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",11000000,"Annual Energy Generation (All Fuels, All Sectors)"
"country/FLK","FK","Falkland Islands [Islas Malvinas]","Annual_Generation_Electricity","1996","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",12000000,"Annual Energy Generation (All Fuels, All Sectors)"
"country/FLK","FK","Falkland Islands [Islas Malvinas]","Annual_Generation_Electricity","1998","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",15000000,"Annual Energy Generation (All Fuels, All Sectors)"
"country/FLK","FK","Falkland Islands [Islas Malvinas]","Annual_Generation_Electricity","2013","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",18051471,"Annual Energy Generation (All Fuels, All Sectors)"
"country/FLK","FK","Falkland Islands [Islas Malvinas]","Annual_Generation_Electricity","2014","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",18172330,"Annual Energy Generation (All Fuels, All Sectors)"
"country/FLK","FK","Falkland Islands [Islas Malvinas]","Annual_Generation_Electricity","2015","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",18826545,"Annual Energy Generation (All Fuels, All Sectors)"
"country/FLK","FK","Falkland Islands [Islas Malvinas]","Annual_Generation_Electricity","2016","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",20725371,"Annual Energy Generation (All Fuels, All Sectors)"
"country/FLK","FK","Falkland Islands [Islas Malvinas]","Annual_Generation_Electricity","2017","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",19509780,"Annual Energy Generation (All Fuels, All Sectors)"
"country/FLK","FK","Falkland Islands [Islas Malvinas]","Annual_Generation_Electricity","2018","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",19168730,"Annual Energy Generation (All Fuels, All Sectors)"
"country/FLK","FK","Falkland Islands [Islas Malvinas]","Annual_Generation_Electricity","2019","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",19610000,"Annual Energy Generation (All Fuels, All Sectors)"
"country/FLK","FK","Falkland Islands [Islas Malvinas]","Annual_Generation_Electricity","2020","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",18279500,"Annual Energy Generation (All Fuels, All Sectors)"
"country/FLK","FK","Falkland Islands [Islas Malvinas]","Annual_Generation_Electricity","2021","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",18656500,"Annual Energy Generation (All Fuels, All Sectors)"
"country/FLK","FK","Falkland Islands [Islas Malvinas]","Annual_Generation_Electricity","2023","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",19740000,"Annual Energy Generation (All Fuels, All Sectors)"